Link,Username,Rank,Timeline,Review,Response
https://lh3.googleusercontent.com/a/ACg8ocKgnFNAnCVqZtK_3-7tVVNVn6fqSiqN79tnSq27qGOd=w45-h45-p-rp-mo-br100,Panku Jadu,2 reviews,4 years ago,"Excellent engineering college in Mumbai university.
Location is road touch.
All classes are equipped with smart boards, projector and A.C. …",Share
https://lh3.googleusercontent.com/a-/ALV-UjWcKSrX6kykEhBHzCqBVuvPMFpN0EnLaWpzUSEXkWCY5xO_=w45-h45-p-rp-mo-br100,SHIV KORE,3 reviews,4 years ago,"One of the best college in Maharashtra. Very good infrastructure and labs. Facilities like Project Based Learning, Foreign languages that too free of cost, helps students to stand with confidence in Industry. Very Good College.",Share
https://lh3.googleusercontent.com/a-/ALV-UjUd2bhbt8KyDuGZPzsOcpMV9QP2TOH0P4Yk5mx_K03NewA=w45-h45-p-rp-mo-ba4-br100,harish fegade,Local Guide · 118 reviews · 180 photos,4 years ago,College has very nice and well built infrastructure. The labs are fully functional with well maintained machines. Teaching pattern is inline with industry requirements. Skill development program is a great initiative to make students well versed with industry trends and help them to make appropriate career choices.,Share
https://lh3.googleusercontent.com/a-/ALV-UjXrYZ0Ww1jaSXmVLZbBYD2jDqRSNirW6s9xNx5uz7qprsk=w45-h45-p-rp-mo-br100,amol kalugade,8 reviews · 5 photos,4 years ago,"Education is not a business, it's service to society...this is ideology of the management. one of the top upcoming institute in Mumbai. Students are trained not only with bookish knowledge but with moral and social values through technical …",Share
https://lh3.googleusercontent.com/a-/ALV-UjUgZ3QEDy4xRSCsJ184bByR6pdaRDsz-VPUcSWMXCEL3Cc=w45-h45-p-rp-mo-br100,Swapnil Jayawant,2 reviews,4 years ago,"A. P. Shah Institute of Technology is one of the best college in Mumbai. it has well equipped AC labs/classrooms, excellent infrastructure and clean canteen. Project based learning ,industrial collaboration, GATE training, Foreign language …",Share
https://lh3.googleusercontent.com/a/ACg8ocJroH4MrUlrCmdmM0vR8BBdpphZi89_c6egtE1NUL_I=w45-h45-p-rp-mo-br100,Nithya K.,1 review,4 years ago,The best college for Engineering in Thane with awesome infrastructure. Laboratories are well equipped. Students are given opportunity to learn through Project based learning too. Excellent faculties. It is the right choice for engineering aspirants.,Share
https://lh3.googleusercontent.com/a-/ALV-UjXuPebysrzIpF3iqK0f2Iz4o1uqRQsXNdc0tG2GiFFX1w=w45-h45-p-rp-mo-br100,Manisha Samant,1 review,4 years ago,"Perfect place to start your engineering career as student.

very nice college. friendly cooperative and helpful teaching and non teaching …",Share
https://lh3.googleusercontent.com/a-/ALV-UjWh5rmVbsan4hmlE-BEcLYSYgtk9YaeJiCl1uRdt4a6Qf4=w45-h45-p-rp-mo-ba3-br100,abhishek,Local Guide · 33 reviews · 12 photos,a year ago,"Nice online exam centre. TCS NQT happens here other govt exams also are conducted. Proper AC functionality, ventilation is there. Parking is also present inside college. Place is clean but I did not find it sanitize thoroughly. Hence, 1 less star rating given.",Share
https://lh3.googleusercontent.com/a/ACg8ocJWSD7MOEg3dsRC1bX1VYpfjrNqlJcDejS68Hj8wk5qmg=w45-h45-p-rp-mo-br100,Nancy Sinollin,3 reviews,4 years ago,It is one of the best engineering college in Mumbai. All classrooms and labs are air conditioned.  All staff members are well qualified and experienced.  Foreign languages are  taught free of cost for  interested students.  Students get  opportunity to learn through Project Based Learning also.,Share
https://lh3.googleusercontent.com/a/ACg8ocJXfN5AoDKjQ7O3dR7S8WaN58DRXSULW8WL9-rr_py7=w45-h45-p-rp-mo-br100,Jaya Gupta,2 reviews,4 years ago,"Best engineering college in Thane.

Road touch location. Transportation connectivity is never an issue. …",Share
https://lh3.googleusercontent.com/a-/ALV-UjXYYA38Y3fLVIwS9zCECaycd6yPhk71Drc17jvfI7ALuA=w45-h45-p-rp-mo-br100,Archana Kotangale,1 review,4 years ago,"APSIT is the best choice for the Engineering aspirant students with wide range of engineering courses to offer and best in class infrastructure and faculty.
Being in Thane,it is well connected with all means of transportation. …",Share
https://lh3.googleusercontent.com/a-/ALV-UjUXTh7tSwC6OOliYw2T0MB06RF2G4zHEQFIyEp2a52fsO8=w45-h45-p-rp-mo-br100,Dr. Suma sreedhar,8 reviews · 8 photos,4 years ago,It is one of the best colleges in Mumbai. It is situated in the prime location of Ghodbundher Road. Students from any location can commute. Good infrastructure and amenities. …,Share
https://lh3.googleusercontent.com/a-/ALV-UjUvjnbV5D2UveuzRdQEEX19tPnF5xmNvC9fTuLgeuZRGkji=w45-h45-p-rp-mo-br100,Sonali Nikam,1 review,4 years ago,"A. P. Shah Institute of Technology is very nice institution with the best management which gives many facilities to the students like free of charge GATE classes, free foreign language classes, &  Project Based Learning.  Infrastructure of …",Share
https://lh3.googleusercontent.com/a-/ALV-UjXlAG1T4BpHeFpUljzRHMn8-DCbLWBawKbhW-pbAng8ITc=w45-h45-p-rp-mo-br100,Rujata Saraf,2 reviews,4 years ago,"It's one of the best emerging college with good infrastructure and facilities...
The college Provides many technology oriented platforms to students for their …",Share
https://lh3.googleusercontent.com/a/ACg8ocKL5Rw6WPHlvVuE2a-Fe0dVgwsFC9IruaOWbZ_xGMpa=w45-h45-p-rp-mo-br100,Apeksha Mohite (Anjaneya),4 reviews,4 years ago,A college that helps its students stand in competing technical world. Best infrastructure and labs. Outrageous progress in industrial collaborations. A place to gain knowledge to empower ones career. College that promotes students in all …,Share
https://lh3.googleusercontent.com/a/ACg8ocKrT60U01D6k0P3VRmHS_wLivCojEn9wOHlIiVs6FYc=w45-h45-p-rp-mo-br100,Nilkanth Saraf,1 review,3 years ago,Good college with excellent facilities. The faculties appointed are extremely talented and also the digital board and other e learning facilities help students to learn concepts thoroughly. One of the best engineering colleges in Mumbai,Share
https://lh3.googleusercontent.com/a-/ALV-UjW9IQ_sp_SzVP1EbJnFwNmhZgkkI0lLLouYGyM7tzgXL7o=w45-h45-p-rp-mo-br100,Prajwal Mhatre,4 reviews · 5 photos,4 years ago,The Infrastructure of the college is very well. The classroom is smart class and all classrooms are AC classroom.  Each lab is well-equipped with the latest technology so that student can refine their knowledge. It has the library with …,Share
https://lh3.googleusercontent.com/a-/ALV-UjWySQSzPysQ6LN8UB1m_VYybJhb9J5TSwshCwY_RQpDfwKV=w45-h45-p-rp-mo-ba4-br100,Kshitij Chaudhari,Local Guide · 68 reviews · 47 photos,5 years ago,The college has a great infrastructure and all the necessary facilities for students. The college management is good and faculties are highly qualified with advance learning tools used for students benefit.The location is easily accessible and highway attached with all other facilities available in its vicinity.,Share
